# Exact diagonalization results provided by
# https://alps.comp-phys.org/groupcodes/groupcodes/gukel/majoranaphotons/lindbladtebd/evolve_3sites.py
# Copyright (C) 2013 by Jan Gukelberger <gukelberger@phys.ethz.ch>
#
# time                    n_1                      n_2                      n_3
1.640000000000000124e+00 3.582905288528890481e-02 5.780946879240291686e-02 3.582905288528980686e-02
1.660000000000000142e+00 3.384298625213117556e-02 6.074999339876135246e-02 3.384298625213208456e-02
1.680000000000000160e+00 3.188605396889274135e-02 6.364046925093869156e-02 3.188605396889364341e-02
1.699999999999999956e+00 2.996329880131518020e-02 6.647074532022446969e-02 2.996329880131608572e-02
1.719999999999999973e+00 2.807957045478300454e-02 6.923105722051023370e-02 2.807957045478386496e-02
1.739999999999999991e+00 2.623951314359197415e-02 7.191205206559402041e-02 2.623951314359283457e-02
1.760000000000000009e+00 2.444755403671359725e-02 7.450481157352613348e-02 2.444755403671442992e-02
1.780000000000000027e+00 2.270789260331214018e-02 7.700087337148252276e-02 2.270789260331296244e-02
1.800000000000000044e+00 2.102449087824734275e-02 7.939225046069917080e-02 2.102449087824815113e-02
1.820000000000000062e+00 1.940106466470406868e-02 8.167144880718682498e-02 1.940106466470487359e-02
1.840000000000000080e+00 1.784107568794152457e-02 8.383148303023546521e-02 1.784107568794230866e-02
1.860000000000000098e+00 1.634772471095351926e-02 8.586589016713117029e-02 1.634772471095428947e-02
1.880000000000000115e+00 1.492394561958451313e-02 8.776874149899160926e-02 1.492394561958526253e-02
1.900000000000000133e+00 1.357240048136692384e-02 8.953465242919099454e-02 1.357240048136765243e-02
1.920000000000000151e+00 1.229547557904443929e-02 9.115879041244374925e-02 1.229547557904514012e-02
1.939999999999999947e+00 1.109527841643836304e-02 9.263688093923370948e-02 1.109527841643903265e-02
1.959999999999999964e+00 9.973635691014807667e-03 9.396521158687036468e-02 9.973635691015452984e-03
1.979999999999999982e+00 8.932092224237197370e-03 9.514063415500742527e-02 8.932092224237820136e-03
2.000000000000000000e+00 7.971910837557858592e-03 9.616056490991108097e-02 7.971910837558450133e-03
2.020000000000000018e+00 7.094073158734231707e-03 9.702298296810989153e-02 7.094073158734788553e-03
2.040000000000000036e+00 6.299281340067037355e-03 9.772642685623014747e-02 6.299281340067562109e-03
2.060000000000000053e+00 5.587960667167911517e-03 9.826998928980240633e-02 5.587960667168403311e-03
2.080000000000000071e+00 4.960263033991528688e-03 9.865331021956665059e-02 4.960263033991991859e-03
2.100000000000000089e+00 4.416071257128398146e-03 9.887656819928665464e-02 4.416071257128833562e-03
2.120000000000000107e+00 3.955004199765607513e-03 9.894047013425646964e-02 3.955004199766011704e-03
2.140000000000000124e+00 3.576422673298348606e-03 9.884623947453305415e-02 3.576422673298720704e-03
2.160000000000000142e+00 3.279436082328265455e-03 9.859560292142495463e-02 3.279436082328607196e-03
2.180000000000000160e+00 3.062909776725897520e-03 9.819077571987980257e-02 3.062909776726207168e-03
2.200000000000000178e+00 2.925473072573468118e-03 9.763444561313888714e-02 2.925473072573746107e-03
2.220000000000000195e+00 2.865527902147353874e-03 9.692975553934102262e-02 2.865527902147599337e-03
2.240000000000000213e+00 2.881258051651554384e-03 9.608028515265011615e-02 2.881258051651769490e-03
2.260000000000000231e+00 2.970638944176919212e-03 9.509003125395962264e-02 2.970638944177103093e-03
2.280000000000000249e+00 3.131447924335990004e-03 9.396338721827224294e-02 3.131447924336144394e-03
2.300000000000000266e+00 3.361275000208469900e-03 9.270512150748508318e-02 3.361275000208593065e-03
2.320000000000000284e+00 3.657533997623845651e-03 9.132035535852656150e-02 3.657533997623939326e-03
2.339999999999999858e+00 4.017474081400271985e-03 8.981453973760820941e-02 4.017474081400337904e-03
2.359999999999999876e+00 4.438191597945481508e-03 8.819343165177728761e-02 4.438191597945518804e-03
2.379999999999999893e+00 4.916642193598073050e-03 8.646306990901507505e-02 4.916642193598080857e-03
2.399999999999999911e+00 5.449653163236822979e-03 8.462975041782473673e-02 5.449653163236802163e-03
2.419999999999999929e+00 6.033935984001241419e-03 8.270000111662210995e-02 6.033935984001199786e-03
2.439999999999999947e+00 6.666098989438073649e-03 8.068055662229944858e-02 6.666098989438012067e-03
2.459999999999999964e+00 7.342660140004450726e-03 7.857833268610210642e-02 7.342660140004366592e-03
2.479999999999999982e+00 8.060059846607865036e-03 7.640040054345442755e-02 8.060059846607759218e-03
2.500000000000000000e+00 8.814673804735013302e-03 7.415396124263493038e-02 8.814673804734888402e-03
2.520000000000000018e+00 9.602825797704481192e-03 7.184632003522620214e-02 9.602825797704335475e-03
2.540000000000000036e+00 1.042080042866257335e-02 6.948486090910352408e-02 1.042080042866241375e-02
2.560000000000000053e+00 1.126485574211672815e-02 6.707702134237322755e-02 1.126485574211654773e-02
2.580000000000000071e+00 1.213123569705788080e-02 6.463026735415583479e-02 1.213123569705768998e-02
2.600000000000000089e+00 1.301618245505377879e-02 6.215206892545098449e-02 1.301618245505356715e-02
2.620000000000000107e+00 1.391594844809097148e-02 5.964987586052928475e-02 1.391594844809074596e-02
2.640000000000000124e+00 1.482680819239847597e-02 5.713109415638395472e-02 1.482680819239823831e-02
2.660000000000000142e+00 1.574506981599285010e-02 5.460306294476207495e-02 1.574506981599260030e-02
2.680000000000000160e+00 1.666708626923915637e-02 5.207303206818775926e-02 1.666708626923889269e-02
2.700000000000000178e+00 1.758926618931913946e-02 4.954814034819342988e-02 1.758926618931885844e-02
2.720000000000000195e+00 1.850808439113246773e-02 4.703539460070694372e-02 1.850808439113218323e-02
2.740000000000000213e+00 1.942009195882694536e-02 4.454164945020430005e-02 1.942009195882665046e-02
2.760000000000000231e+00 2.032192591385277927e-02 4.207358799083551343e-02 2.032192591385246355e-02
2.780000000000000249e+00 2.121031843716637832e-02 3.963770333927376516e-02 2.121031843716605914e-02
2.800000000000000266e+00 2.208210562496110835e-02 3.724028112053292400e-02 2.208210562496077528e-02
2.820000000000000284e+00 2.293423575907974077e-02 3.488738292444195505e-02 2.293423575907940423e-02
2.839999999999999858e+00 2.376377707505922254e-02 3.258483076687847257e-02 2.376377707505887907e-02
2.859999999999999876e+00 2.456792501256960248e-02 3.033819258623289203e-02 2.456792501256925901e-02
2.879999999999999893e+00 2.534400893483687231e-02 2.815276880192791806e-02 2.534400893483652190e-02
2.899999999999999911e+00 2.608949830547325002e-02 2.603357995814269479e-02 2.608949830547289961e-02
2.919999999999999929e+00 2.680200831298293687e-02 2.398535547220788378e-02 2.680200831298258646e-02
2.939999999999999947e+00 2.747930493505460273e-02 2.201252350344724829e-02 2.747930493505427313e-02
2.959999999999999964e+00 2.811930943659580670e-02 2.011920195455640589e-02 2.811930943659547363e-02
2.979999999999999982e+00 2.872010229729941161e-02 1.830919061393719918e-02 2.872010229729907160e-02
3.000000000000000000e+00 2.927992656635843363e-02 1.658596444375646725e-02 2.927992656635808669e-02
3.020000000000000018e+00 2.979719064375084200e-02 1.495266801488362614e-02 2.979719064375050547e-02
3.040000000000000036e+00 3.027047048930333814e-02 1.341211108629133779e-02 3.027047048930300854e-02
3.060000000000000053e+00 3.069851126249847559e-02 1.196676532298871463e-02 3.069851126249813905e-02
3.080000000000000071e+00 3.108022839771341916e-02 1.061876214311024622e-02 3.108022839771308957e-02
3.100000000000000089e+00 3.141470812126345713e-02 9.369891681415736320e-03 3.141470812126311019e-02
3.120000000000000107e+00 3.170120741826004673e-02 8.221602853179289100e-03 3.170120741825969979e-02
3.140000000000000124e+00 3.193915345888364427e-02 7.175004499268658117e-03 3.193915345888330426e-02
3.160000000000000142e+00 3.212814249520189180e-02 6.230867590152343836e-03 3.212814249520157261e-02
3.180000000000000160e+00 3.226793824113599607e-02 5.389628463629211885e-03 3.226793824113567688e-02
3.200000000000000178e+00 3.235846974958334760e-02 4.651393068264002284e-03 3.235846974958302841e-02
3.220000000000000195e+00 3.239982880204090449e-02 4.015942181840486021e-03 3.239982880204059917e-02
3.240000000000000213e+00 3.239226682733488405e-02 3.482737571619552545e-03 3.239226682733459955e-02
3.260000000000000231e+00 3.233619136724896065e-02 3.050929060818803520e-03 3.233619136724869003e-02
3.280000000000000249e+00 3.223216210794818681e-02 2.719362463518918468e-03 3.223216210794793007e-02
3.300000000000000266e+00 3.208088649711957063e-02 2.486588348154298439e-03 3.208088649711932777e-02
3.320000000000000284e+00 3.188321496769067065e-02 2.350871587865516286e-03 3.188321496769043473e-02
3.340000000000000302e+00 3.164013578984287145e-02 2.310201654280104929e-03 3.164013578984265634e-02
3.359999999999999876e+00 3.135276957380560975e-02 2.362303609748856066e-03 3.135276957380540852e-02
3.379999999999999893e+00 3.102236344660206854e-02 2.504649751696558582e-03 3.102236344660187772e-02
3.399999999999999911e+00 3.065028492651517694e-02 2.734471861549160176e-03 3.065028492651498265e-02
3.419999999999999929e+00 3.023801551955652978e-02 3.048774009672358589e-03 3.023801551955633896e-02
3.439999999999999947e+00 2.978714406264998740e-02 3.444345866897615457e-03 2.978714406264981393e-02
3.459999999999999964e+00 2.929935983858864695e-02 3.917776472518364264e-03 2.929935983858849083e-02
3.479999999999999982e+00 2.877644548808880667e-02 4.465468408108685949e-03 2.877644548808865749e-02
3.500000000000000000e+00 2.822026974445044842e-02 5.083652326145667900e-03 2.822026974445030617e-02
3.520000000000000018e+00 2.763278001644091375e-02 5.768401782201483530e-03 2.763278001644076456e-02
3.540000000000000036e+00 2.701599484505040963e-02 6.515648319408353685e-03 2.701599484505025697e-02
3.560000000000000053e+00 2.637199625972480935e-02 7.321196753984898255e-03 2.637199625972467404e-02
3.580000000000000071e+00 2.570292205956703144e-02 8.180740610841711127e-03 2.570292205956689266e-02
3.600000000000000089e+00 2.501095804481200460e-02 9.089877658654630516e-03 2.501095804481186929e-02
3.620000000000000107e+00 2.429833022362887576e-02 1.004412549430053377e-02 2.429833022362875433e-02
3.640000000000000124e+00 2.356729701898195584e-02 1.103893712719035761e-02 2.356729701898184481e-02
3.660000000000000142e+00 2.282014149989962382e-02 1.206971651480220377e-02 2.282014149989951626e-02
3.680000000000000160e+00 2.205916366105187265e-02 1.313183400161218456e-02 2.205916366105177204e-02
3.700000000000000178e+00 2.128667277403003405e-02 1.422064161463647974e-02 2.128667277402993691e-02
3.720000000000000195e+00 2.050497983315445819e-02 1.533148816993236928e-02 2.050497983315436451e-02
3.740000000000000213e+00 1.971639011801151753e-02 1.645973414565578968e-02 1.971639011801142732e-02
3.760000000000000231e+00 1.892319589424061935e-02 1.760076627863352977e-02 1.892319589424054649e-02
3.780000000000000249e+00 1.812766927335849806e-02 1.875001184287611311e-02 1.812766927335841827e-02
3.800000000000000266e+00 1.733205525162075447e-02 1.990295257003001084e-02 1.733205525162066427e-02
3.820000000000000284e+00 1.653856494708638367e-02 2.105513817343945826e-02 1.653856494708629693e-02
3.840000000000000302e+00 1.574936905316599162e-02 2.220219943925444417e-02 1.574936905316590488e-02
3.859999999999999876e+00 1.496659152600613406e-02 2.333986084988123877e-02 1.496659152600606120e-02
3.879999999999999893e+00 1.419230352209062060e-02 2.446395270701293839e-02 1.419230352209055294e-02
3.899999999999999911e+00 1.342851760142685195e-02 2.557042272350423806e-02 1.342851760142679644e-02
3.919999999999999929e+00 1.267718221063681566e-02 2.665534705545069202e-02 1.267718221063675842e-02
3.939999999999999947e+00 1.194017645918823631e-02 2.771494074800141816e-02 1.194017645918819467e-02
3.959999999999999964e+00 1.121930520088776535e-02 2.874556757066185075e-02 1.121930520088771331e-02
3.979999999999999982e+00 1.051629443161587914e-02 2.974374922012626779e-02 1.051629443161582189e-02
4.000000000000000000e+00 9.832787013119223540e-03 3.070617387100924023e-02 9.832787013119164560e-03
4.019999999999999574e+00 9.170338731490810733e-03 3.162970405721471367e-02 9.170338731490751752e-03
4.040000000000000036e+00 8.530414697769283378e-03 3.251138386908022232e-02 8.530414697769224397e-03
4.059999999999999609e+00 7.914386096877563948e-03 3.334844545385570042e-02 7.914386096877506702e-03
4.080000000000000071e+00 7.323527289903896710e-03 3.413831480951055874e-02 7.323527289903835127e-03
4.099999999999999645e+00 6.759013273508665716e-03 3.487861686430147184e-02 6.759013273508604133e-03
4.119999999999999218e+00 6.221917499023495689e-03 3.556717983697004620e-02 6.221917499023430637e-03
4.139999999999999680e+00 5.713210052599045595e-03 3.620203887485440308e-02 5.713210052598983145e-03
4.159999999999999254e+00 5.233756196559554222e-03 3.678143896960069797e-02 5.233756196559495241e-03
4.179999999999999716e+00 4.784315270939609212e-03 3.730383715252284099e-02 4.784315270939545894e-03
4.199999999999999289e+00 4.365539953016979446e-03 3.776790397398192139e-02 4.365539953016915262e-03
4.219999999999999751e+00 3.977975871517809223e-03 3.817252427343419130e-02 3.977975871517744171e-03
4.239999999999999325e+00 3.622061571062027731e-03 3.851679724900984592e-02 3.622061571061959209e-03
4.259999999999999787e+00 3.298128821340968325e-03 3.880003583764096708e-02 3.298128821340898503e-03
4.279999999999999361e+00 3.006403264479479490e-03 3.902176541883085187e-02 3.006403264479409667e-03
4.299999999999999822e+00 2.747005393034725271e-03 3.918172185716384259e-02 2.747005393034652847e-03
4.319999999999999396e+00 2.519951850126620884e-03 3.927984890056205464e-02 2.519951850126546725e-03
4.339999999999999858e+00 2.325157042283038621e-03 3.931629495312557315e-02 2.325157042282960558e-03
4.359999999999999432e+00 2.162435054719112366e-03 3.929140924311543687e-02 2.162435054719033002e-03
4.379999999999999893e+00 2.031501857956583609e-03 3.920573740826876347e-02 2.031501857956502077e-03
4.399999999999999467e+00 1.931977793927669787e-03 3.906001652215597419e-02 1.931977793927585436e-03
4.419999999999999929e+00 1.863390329000360517e-03 3.885516958670644228e-02 1.863390329000274214e-03
4.439999999999999503e+00 1.825177060709490262e-03 3.859229951733429004e-02 1.825177060709402442e-03
4.459999999999999964e+00 1.816688964381244029e-03 3.827268264828868199e-02 1.816688964381155775e-03
4.479999999999999538e+00 1.837193865299085842e-03 3.789776178693178565e-02 1.837193865298996070e-03
4.500000000000000000e+00 1.885880121576377806e-03 3.746913884661500632e-02 1.885880121576286950e-03
4.519999999999999574e+00 1.961860502475873142e-03 3.698856708867256926e-02 1.961860502475782069e-03
4.540000000000000036e+00 2.064176246548525117e-03 3.645794300478653882e-02 2.064176246548431876e-03
4.559999999999999609e+00 2.191801283653567380e-03 3.587929787160107353e-02 2.191801283653474139e-03
4.580000000000000071e+00 2.343646604668162773e-03 3.525478900996772275e-02 2.343646604668068664e-03
4.599999999999999645e+00 2.518564762497503984e-03 3.458669078160051674e-02 2.518564762497408575e-03
4.620000000000000107e+00 2.715354487854375071e-03 3.387738535620279240e-02 2.715354487854281830e-03
4.639999999999999680e+00 2.932765403190048560e-03 3.312935328230192517e-02 2.932765403189955752e-03
4.659999999999999254e+00 3.169502818124765673e-03 3.234516389509498047e-02 3.169502818124672865e-03
4.679999999999999716e+00 3.424232589745313925e-03 3.152746559457058478e-02 3.424232589745219817e-03
4.699999999999999289e+00 3.695586031207646546e-03 3.067897602703111709e-02 3.695586031207550703e-03
4.719999999999999751e+00 3.982164852203241845e-03 2.980247220289754598e-02 3.982164852203146435e-03
4.739999999999999325e+00 4.282546115017356672e-03 2.890078058334007854e-02 4.282546115017260395e-03
4.759999999999999787e+00 4.595287190124197618e-03 2.797676716784554263e-02 4.595287190124103943e-03
4.779999999999999361e+00 4.918930695526912283e-03 2.703332761430485981e-02 4.918930695526819476e-03
4.799999999999999822e+00 5.252009404357201559e-03 2.607337742259071070e-02 5.252009404357110486e-03
4.819999999999999396e+00 5.593051105599313941e-03 2.509984221189694512e-02 5.593051105599223735e-03
4.839999999999999858e+00 5.940583403193865596e-03 2.411564812132694843e-02 5.940583403193771921e-03
4.859999999999999432e+00 6.293138439207099713e-03 2.312371236236190897e-02 6.293138439207006905e-03
4.879999999999999893e+00 6.649257527218550498e-03 2.212693395090086293e-02 6.649257527218462895e-03
4.899999999999999467e+00 7.007495682583171279e-03 2.112818464556176154e-02 7.007495682583089747e-03
4.919999999999999929e+00 7.366426036760453759e-03 2.013030011785750875e-02 7.366426036760377431e-03
4.939999999999999503e+00 7.724644123471468421e-03 1.913607137872608277e-02 7.724644123471394695e-03
4.959999999999999964e+00 8.080772025041869575e-03 1.814823648469704800e-02 8.080772025041807125e-03
4.979999999999999538e+00 8.433462367914257296e-03 1.716947254572938689e-02 8.433462367914201785e-03
5.000000000000000000e+00 8.781402156962781966e-03 1.620238805545327551e-02 8.781402156962722985e-03
